<DATETIME>,<RETURN>
20180103 102008,-0.0199999
20180103 102008,0.0000001
20180103 102012,0.0000001
20180103 102012,-0.0099999
20180103 102012,0.0000001
20180103 102013,0.0000001
20180103 102013,0.0400001
20180103 102013,-0.0399999
20180103 102013,0.0500001
20180103 102028,0.0000001
20180103 102028,0.0200001
20180103 102028,0.0100001
20180103 102028,0.0100001
20180103 102028,0.0000001
20180103 102028,0.0000001
20180103 102028,0.0200001
20180103 102028,0.0200001
20180103 102028,0.0200001
20180103 102028,-0.0299999
20180103 102042,0.0200001
20180103 102045,-0.0699999
20180103 102050,0.0600001
20180103 102051,0.0000001
20180103 102054,-0.0599999
20180103 102057,0.0000001
20180103 102057,0.0000001
20180103 102057,-0.0099999
20180103 102057,-0.0099999
20180103 102057,-0.0099999
20180103 102057,-0.0099999
20180103 102057,-0.0099999
20180103 102057,0.0000001
20180103 102057,-0.0099999
20180103 102057,0.1000001
20180103 102104,-0.0699999
20180103 102111,0.0000001
20180103 102111,-0.0099999
20180103 102121,0.0000001
20180103 102121,0.0000001
20180103 102121,0.0200001
20180103 102129,-0.0099999
20180103 102129,-0.0099999
20180103 102154,-0.0199999
20180103 102154,0.0700001
20180103 102224,0.0100001
20180103 102224,0.0000001
20180103 102224,0.0100001
20180103 102229,0.0100001
20180103 102229,0.0100001
20180103 102325,-0.0299999
20180103 102340,0.0300001
20180103 102342,0.0100001
20180103 102342,0.0000001
20180103 102405,0.0100001
20180103 102412,0.0000001
20180103 102423,0.0200001
20180103 102423,0.0000001
20180103 102440,0.0000001
20180103 102501,-0.0099999
20180103 102504,0.0300001
20180103 102504,0.0100001
20180103 102525,0.0200001
20180103 102525,0.0100001
20180103 102525,0.0000001
20180103 102525,0.0000001
20180103 102526,-0.0399999
20180103 102527,0.0200001
20180103 102532,0.0000001
20180103 102532,0.0000001
20180103 102532,0.0000001
20180103 102532,-0.0199999
20180103 102557,0.0000001
